genes	A11	A12	A1	A3	A4	A5	B11	B3	B5	B6	C10	C11	C1	C2	C3	C4	C6	C8	C9	D11
TSPAN6	2.046963479	1.910106412	0	5.32602085	0.921525942	2.003056199	3.75147036	2.71574438	0	0	0	0	0	5.020561056	0	0	1.431226737	2.176256491	4.480962699	0
DPM1	8.420579493	1.604200385	0	6.091315167	0	0	2.930152218	2.307385537	0	0	1.65990308	0	0	0	4.70669007	3.687106514	0	1.536085183	0.744089352	4.15882575
SCYL3	0	0.02987053	0.018706195	0	0.297067544	0	0.478801221	0	0	0	0	0	0	0	0	1.799061212	0	0.08188992	0	0
FUCA2	7.365679159	1.436197531	1.024965185	0	0	0	0	2.368409883	4.800130595	0	0	4.728754489	3.346443254	0	0.460086585	1.636253816	0	0	0	0
GCLC	0.570748642	0	2.608693492	0	0.295865798	0	1.50818673	0.078674314	0	5.031617729	0	0	0	0	0	0	0	0.594604349	0.078833506	0.138593035
NFYA	8.239177304	0.088527692	0	0	0.114852662	0	0	0	0	0	2.245089299	0.303090716	0.172754371	0.395495261	0.987697033	4.483225919	0	1.793783155	0.167099257	0
NIPAL3	0.680721484	0	0	0.471305719	0	0	1.337451579	0.15327925	2.576530595	3.189462005	2.152331809	0.800138855	2.720301672	0	0	2.381956424	0.380821784	1.078790682	0	0
ENPP4	1.660730008	0	0	0	1.388693399	0.73206217	2.001469788	2.50718655	0	3.114318553	0.020219123	4.44009219	3.180928302	0	0	4.141715249	4.207827794	0.69748404	0	0
ANKIB1	0	0.547249497	0	7.35214377	0.645419799	0.046384299	3.18509498	0	0	0	1.064904751	4.235534924	2.341171066	0	0	4.412072588	0	4.481434068	0	0
CYP51A1	5.982658103	2.381642498	2.098358444	6.701700264	2.947587242	2.37549261	0.924946439	3.087963429	5.847506397	1.947735348	3.149418479	5.646137196	4.463596579	5.034841994	5.374396802	4.291472331	2.509848299	1.158122254	1.822868446	3.324244138
